#mm9.knownGene.name	mm9.kgXref.geneSymbol
uc008nji.1	Necab3
uc008njl.1	E2f1
uc008njk.1	E2f1
uc008njm.1	Pxmp4
uc008njn.1	AK145231
uc008njo.1	Zfp341
uc008njp.1	Chmp4b
uc008njq.1	Chmp4b
uc008njv.2	Raly
uc012cgy.1	Raly
uc008njr.2	Raly
uc008njt.2	Raly
uc008njs.2	Raly
uc008njw.1	Eif2s2
uc008njx.1	Eif2s2
uc008njy.1	AK172452
uc012cgz.1	a
uc008nju.2	Raly
uc008njz.1	a
uc008nka.2	Ahcy
uc008nkb.1	Itch
uc008nkc.1	Itch
uc008nkd.1	Itch
uc008nkf.1	Itch
uc008nke.1	Itch
uc008nkg.2	Dynlrb1
uc012cha.1	Map1lc3a
uc012chb.1	Mir695
uc008nki.1	Pigu
uc008nkj.1	Pigu
uc008nkl.1	Trp53inp2
uc008nkk.1	Trp53inp2
uc008nkm.1	Ncoa6
uc008nkp.1	Ncoa6
uc008nkn.1	Ncoa6
uc008nko.1	Ncoa6
uc012chc.1	Ggt7
uc008nkr.2	Ggt7
uc008nks.1	Acss2
uc008nkt.1	Acss2
uc008nkw.1	AK015552
uc008nku.1	Acss2
uc008nkv.1	Acss2
uc008nkx.1	Gss
uc008nky.1	Gss
uc008nkz.1	Gss
uc012chd.1	Mir499
uc008nlb.1	Myh7b
uc008nla.1	Myh7b
uc008nle.1	mFLJ00177
uc008nlc.2	Trpc4ap
uc012che.1	Trpc4ap
uc008nlf.2	Trpc4ap
uc008nlg.2	Edem2
uc008nli.2	Procr
uc008nlh.2	Procr
uc008nlj.1	Mmp24
uc008nlk.2	BC029722
uc008nll.1	Eif6
uc008nlm.2	Fam83c
uc008nlo.2	Uqcc
uc012chf.1	Uqcc
uc008nlp.2	Uqcc
uc012chg.1	Gdf5
uc008nlr.2	Cep250
uc012chh.1	Cep250
uc012chi.1	Cep250
uc012chj.1	Cep250
uc008nlt.2	Cep250
uc008nlu.2	Cep250
uc012chk.1	Cep250
uc012chl.1	Cep250
uc012chm.1	Cep250
uc012chn.1	6430550D23Rik
uc008nlw.2	6430550D23Rik
uc008nlx.1	Ergic3
uc008nly.1	Ergic3
uc008nma.1	Fer1l4
uc012cho.1	Fer1l4
uc008nmb.2	Spag4
uc008nmc.1	Spag4
uc008nmd.1	Spag4
uc008nme.2	Rbm12
uc008nmf.2	Cpne1
uc008nmg.2	Cpne1
uc012chp.1	Cpne1
uc008nmh.1	Rbm12
uc008nmi.1	Rbm12
uc008nmj.2	Nfs1
uc008nmk.2	Nfs1
uc008nml.2	Nfs1
uc012chq.1	Romo1
uc008nmm.2	Romo1
uc008nmn.2	Romo1
uc012chr.1	Caper
uc008nmo.1	Rbm39
uc008nmp.1	Rbm39
uc008nmt.1	Caper
uc008nmu.1	Caper
uc008nmq.1	Rbm39
uc008nmr.1	Rbm39
uc008nms.1	Rbm39
uc008nmv.1	Caper
uc008nmw.1	Caper
uc008nna.1	AK136863
uc008nmx.1	Phf20
uc008nmy.1	Phf20
uc008nmz.1	Phf20
uc008nnc.2	Scand1
uc008nnf.1	4921517L17Rik
uc008nnd.2	4921517L17Rik
uc008nne.2	4921517L17Rik
uc012chs.1	2900097C17Rik
uc008nng.1	Epb4.1l1
uc008nnh.1	Epb4.1l1
uc012cht.1	Epb4.1l1
uc008nni.1	Epb4.1l1
uc008nnj.1	Epb4.1l1
uc008nnk.1	Epb4.1l1
uc008nnl.1	Epb4.1l1
uc008nnm.1	Epb4.1l1
uc008nnn.1	Epb4.1l1
uc008nno.1	Epb4.1l1
uc008nnq.2	0610011L14Rik
uc008nnp.2	0610011L14Rik
uc008nns.1	AK015092
uc008nnr.1	Dlgap4
uc012chu.1	Dlgap4
uc012chv.1	Dlgap4
uc008nnt.1	Dlgap4
uc008nnu.1	Dlgap4
uc008nnv.1	Dlgap4
uc008nnw.2	Myl9
uc008nnx.1	Tgif2
uc008nny.1	Tgif2
uc008nnz.1	5430405H02Rik
uc008noa.2	5430405H02Rik
uc012chw.1	5430405H02Rik
uc008nob.2	1110008F13Rik
uc008noc.2	1110008F13Rik
uc008nod.1	Sla2
uc008noe.1	Sla2
uc008nog.2	Ndrg3
uc008nof.2	Ndrg3
uc008noh.2	Ndrg3
uc008noi.2	Ndr3
uc008noj.2	Dsn1
uc008nok.2	Dsn1
uc008nol.2	9830001H06Rik
uc012chx.1	Gm1332
uc008non.2	Samhd1
uc012chy.1	Samhd1
uc012chz.1	Samhd1
uc008noo.1	Samhd1
uc008nop.1	Samhd1
uc008noq.2	Rbl1
uc008nor.2	Rbl1
uc008nos.2	Rbl1
uc008nou.2	4922505G16Rik
uc008nov.2	4922505G16Rik
uc008now.1	Rpn2
uc008nox.1	Ghrh
uc008noy.1	Ghrh
uc008noz.2	Manbal
uc012cia.1	Src
uc008npa.1	Src
uc008npb.1	Src
uc008npe.1	Nnat
uc008npf.1	Nnat
uc008npg.1	Peg5
uc008npc.1	Blcap
uc008npd.1	Blcap
uc012cib.1	Ctnnbl1
uc008nph.2	Ctnnbl1
uc012cic.1	Vstm2l
uc008npj.1	Tti1
uc008npk.1	Tti1
uc008npl.1	Rprd1b
uc008npm.1	Rprd1b
uc008npn.1	Rprd1b
uc008npo.1	Rprd1b
uc008npp.1	Rprd1b
uc008npq.1	AK008166
uc008npr.1	Tgm2
uc008nps.1	Tgm2
uc008npt.1	Tgm2
uc008npu.2	1700060C20Rik
uc012cid.1	D630003M21Rik
uc008npv.2	D630003M21Rik
uc008npw.1	Bpi
uc008npx.1	Bpi
uc008npy.1	Lbp
uc008npz.1	Lbp
uc008nqa.1	Lbp
uc008nqc.2	9430008C03Rik
uc008nqb.2	9430008C03Rik
uc012cie.1	9430008C03Rik
uc008nqd.1	Snhg11
uc008nqe.1	Snhg11
uc008nqf.1	B230339M05Rik
uc008nqg.1	Ralgapb
uc008nqh.1	Ralgapb
uc012cif.1	Ralgapb
uc012cig.1	Ralgapb
uc008nqi.1	Adig
uc012cih.1	Arhgap40
uc008nqj.1	AK134637
uc012cii.1	BC072662
uc008nqk.1	Slc32a1
uc008nql.1	Actr5
uc012cik.1	Mir3474
uc008nqm.1	Actr5
uc012cij.1	Actr5
uc008nqo.2	Ppp1r16b
uc012cil.1	Ppp1r16b
uc008nqp.2	Ppp1r16b
uc008nqq.2	Fam83d
uc008nqr.2	Fam83d
uc008nqs.1	Dhx35
uc008nqt.1	Dhx35
uc008nqu.1	Dhx35
uc008nqv.1	Gm826
uc008nqw.2	Mafb
uc008nqx.1	Top1
uc008nqy.1	Top1
uc008nrc.1	Plcg1
uc008nqz.1	Plcg1
uc008nrb.1	Plcg1
uc008nrd.1	AK169777
uc008nra.1	Plcg1
uc008nrg.1	Zhx3
uc008nre.1	Zhx3
uc008nrf.1	Zhx3
uc008nrh.2	Lpin3
uc008nrj.2	Lpin3
uc008nri.2	Lpin3
uc008nrl.1	Emilin3
uc008nrk.1	Emilin3
uc008nrm.1	AK080351
uc008nro.1	Chd6
uc008nrq.1	AK038115
uc008nrs.1	Chd6
uc008nrt.1	Chd6
uc008nrn.1	Chd6
uc012cim.1	mKIAA1335
uc012cin.1	Chd6
uc008nrp.1	Chd6
uc008nrr.1	Chd6
uc008nru.1	Ptprt
uc008nrv.1	Ptprt
uc008nsa.1	AK021192
uc008nrw.1	Ptprt
uc008nrx.1	Ptprt
uc008nry.1	Ptprt
uc008nrz.1	Ptprt
uc008nsb.1	9430021M05Rik
uc012cio.1	9430021M05Rik
uc008nsc.2	Srsf6
uc012cip.1	L3mbtl
uc008nse.1	L3mbtl
uc008nsd.1	L3mbtl
uc008nsg.2	Sgk2
uc008nsf.1	Sgk2
uc008nsh.1	Sgk2
uc008nsi.1	Ift52
uc008nsj.1	Ift52
uc008nsk.1	Ift52
uc008nsl.1	Mybl2
uc008nsm.1	Gtsf1l
uc008nsn.1	AK082432
uc008nso.1	Tox2
uc008nsp.1	Jph2
uc008nsq.2	3230401D17Rik
uc008nsr.1	3230401D17Rik
uc012ciq.1	Gdap1l1
uc008nst.2	Gdap1l1
uc008nsu.2	Gdap1l1
uc008nsv.1	Fitm2
uc012cir.1	2310001K24Rik
uc008nsw.2	R3hdml
uc008nsx.2	0610008F07Rik
uc008nsy.2	0610008F07Rik
uc012cis.1	Hnf4a
uc008nsz.2	Hnf4a
uc008nta.2	Hnf4a
uc012cit.1	Hnf4a
uc012ciu.1	Hnf4a
uc008ntb.1	Hnf4a
uc008ntc.1	Ttpal
uc008ntd.1	Ttpal
uc008nte.1	Ttpal
uc008ntf.1	Ttpal
uc008ntg.2	Serinc3
uc012civ.1	0610039K10Rik
uc008nti.2	Pkig
uc008ntj.2	Pkig
uc008nth.2	Pkig
uc012ciw.1	Pkig
uc008ntk.1	Pkig
uc008ntl.1	Ada
uc008ntm.2	Wisp2
uc008ntn.1	Kcnk15
uc008nto.1	Rims4
uc008ntp.1	Ywhab
uc012cix.1	Pabpc1l
uc008ntq.2	1810053B01Rik
uc008ntr.1	Tomm34
uc008nts.1	Tomm34
uc008ntt.1	Stk4
uc008ntu.1	Stk4
uc008ntv.1	Kcns1
uc012ciy.1	Wfdc5
uc008ntw.2	Wfdc5
uc008ntx.1	Wfdc12
uc008nty.1	Wfdc15a
uc008ntz.1	Wfdc15b
uc008nua.1	Wfdc15b
uc008nub.2	Svs2
uc008nuc.2	Svs2
uc008nud.1	Svs3b
uc008nue.1	Svs4
uc008nuf.2	Svs3a
uc008nug.2	Svs3a
uc008nuh.1	Svs6
uc008nui.1	Svs5
uc008nuj.1	Slpi
uc012ciz.1	Slpi
uc008num.2	Matn4
uc008nun.2	Matn4
uc008nuo.1	Rbpjl
uc008nup.1	Rbpjl
uc008nuq.1	Sdc4
uc008nur.1	Sys1
uc008nut.1	Sys1
uc008nuv.1	Trp53tg5
uc008nus.1	Sys1
uc008nuu.1	Sys1
uc008nux.1	Dbndd2
uc008nuw.1	Dbndd2
uc008nuy.1	Dbndd2
uc008nuz.1	Dbndd2
uc008nva.1	Dbndd2
uc008nvb.1	Pigt
uc008nvc.1	Pigt
uc012cja.1	Pigt
uc008nvd.1	AK043662
uc008nve.1	Wfdc2
uc008nvf.2	Spint3
uc008nvg.2	Wfdc6a
uc012cjb.1	Wfdc6a
uc008nvh.1	Spinlw1
uc008nvj.1	Wfdc8
uc008nvi.1	Wfdc8
uc008nvk.1	Wfdc8
uc008nvl.2	Wfdc6b
uc012cjc.1	Wfdc16
uc008nvn.2	Wfdc9
uc008nvo.1	Wfdc10
uc008nvp.1	Wfdc11
uc008nvq.1	Wfdc13
uc008nvr.1	Spint4
uc008nvs.1	Gm14316
uc008nvt.1	Wfdc3
uc008nvu.1	Wfdc3
uc008nvv.1	AK006001
uc008nvw.1	Dnttip1
uc008nvx.1	Dnttip1
uc008nvy.1	Ube2c
uc012cjd.1	Ube2c
uc008nvz.1	Tnnc2
uc008nwb.1	Snx21
uc008nwa.1	Snx21
uc008nwc.1	Snx21
uc008nwd.1	Snx21
uc008nwe.1	Acot8
uc008nwf.2	Acot8
uc008nwg.2	Acot8
uc008nwh.1	Zswim3
uc008nwi.1	Zswim1
uc008nwj.2	1700020C07Rik
uc008nwk.2	Neurl2
uc008nwl.1	Ctsa
uc008nwm.1	Ctsa
uc008nwn.1	Pltp
uc008nwo.1	AK015392
uc008nwq.1	BC060988
uc008nwp.1	Pcif1
uc008nwr.1	Zfp335
uc012cje.1	Zfp335
uc008nws.1	AK141411
uc008nwt.1	Mmp9
uc008nwu.2	Slc12a5
uc012cjf.1	Slc12a5
uc008nwv.1	Ncoa5
uc008nww.1	Ncoa5
uc008nwx.1	Cd40
uc008nwy.1	Cd40
uc008nwz.1	Cd40
uc008nxb.1	Cd40
uc012cjg.1	1700025C18Rik
uc012cjh.1	Cdh22
uc008nxc.2	Cdh22
uc008nxd.1	Slc35c2
uc008nxe.1	Slc35c2
uc008nxf.1	Slc35c2
uc008nxg.1	Slc35c2
uc008nxh.1	Slc35c2
uc008nxi.1	Elmo2
uc008nxj.1	Elmo2
uc008nxm.1	Elmo2
uc008nxk.1	Elmo2
uc008nxl.1	Elmo2
uc008nxn.1	Elmo2
uc008nxo.1	Zfp663
uc008nxp.1	Zfp663
uc008nxq.1	Zfp334
uc008nxr.1	4833422F24Rik
uc008nxs.1	Slc13a3
uc012cji.1	Slc13a3
uc008nxt.1	Slc13a3
uc008nxu.1	2810408M09Rik
uc008nxv.1	Slc2a10
uc008nxw.1	Eya2
uc008nxx.1	Eya2
uc008nxy.1	Eya2
uc008nxz.1	Eya2
uc008nya.1	Zmynd8
uc008nye.1	Zmynd8
uc008nyb.1	Zmynd8
uc008nyg.1	mKIAA1125
uc008nyh.1	mKIAA1125
uc008nyc.1	Zmynd8
uc008nyd.1	Zmynd8
uc008nyf.1	Zmynd8
uc008nyi.2	Ncoa3
uc008nyj.2	Ncoa3
uc008nyk.1	Sulf2
uc008nyl.1	Sulf2
uc012cjj.1	Gm11468
uc012cjk.1	5031425F14Rik
uc008nym.1	Prex1
uc008nyn.1	Prex1
uc008nyo.1	Prex1
uc008nyp.1	AK077074
uc008nyq.1	Trp53rk
uc008nyr.2	Arfgef2
uc008nyt.1	Cse1l
uc008nys.2	Cse1l
uc012cjl.1	Cse1l
uc008nyu.2	Stau1
uc008nyz.1	AK041781
uc008nyw.2	Stau1
uc008nyv.2	Stau1
uc008nyy.2	Stau1
uc008nyx.2	Stau1
uc008nza.1	Ddx27
uc008nzb.1	Ddx27
uc008nzd.1	Znfx1
uc008nzc.1	Znfx1
uc008nze.1	Znfx1
uc012cjm.1	Snord12
uc008nzf.1	1500012F01Rik
uc008nzg.1	BC054394
uc008nzh.1	Kcnb1
uc008nzi.1	Kcnb1
uc008nzj.1	AY672066
uc008nzk.1	AK003793
uc008nzl.1	Ptgis
uc008nzm.1	B4galt5
uc008nzn.1	NHE8
uc008nzo.1	Slc9a8
uc012cjn.1	NHE8
uc008nzp.1	Slc9a8
uc008nzq.1	Slc9a8
uc008nzr.1	Slc9a8
uc012cjo.1	NHE8
uc008nzt.1	Spata2
uc008nzu.1	Spata2
uc008nzs.1	Spata2
uc012cjp.1	Spata2
uc008nzv.1	Rnf114
uc008nzw.1	Rnf114
uc008nzx.1	Rnf114
uc008nzy.1	Snai1
uc008nzz.1	AK077405
uc008oaa.1	Ube2v1
uc008oab.1	Ube2v2
uc008oac.1	AK177731
uc008oad.1	Tmem189
uc008oae.1	Tmem189
uc008oaf.1	Cebpb
uc008oag.1	A530013C23Rik
uc008oah.2	A530013C23Rik
uc008oaj.1	Ptpn1
uc008oak.1	Ptpn1
uc012cjq.1	Ptpn1
uc008oam.1	AK009597
uc008oal.1	Fam65c
uc012cjr.1	Fam65c
uc008oan.1	AK027991
uc008oao.2	Pard6b
uc008oap.1	AK018699
uc008oaq.1	Adnp
uc008oar.1	Adnp
uc008oas.1	Dpm1
uc012cjs.1	Mocs3
uc008oat.1	Kcng1
uc008oav.1	Nfatc2
uc012cjt.1	Nfatc2
uc012cju.1	Nfatc2
uc008oau.1	Nfatc2
uc012cjv.1	Nfatc2
uc012cjw.1	Nfatc2
uc012ckd.1	Nfatc2
uc012cke.1	Nfatc2
uc008oaw.1	Nfatc2
uc008oaz.1	Nfatc2
uc012ckg.1	Nfatc2
uc008oba.1	Nfatc2
uc012cjx.1	Nfatc2
uc012cjy.1	Nfatc2
uc012cjz.1	Nfatc2
uc012cka.1	Nfatc2
uc012ckb.1	Nfatc2
uc012ckc.1	Nfatc2
uc008oay.1	Nfatc2
uc012ckf.1	Nfatc2
uc008oax.1	Nfatc2
uc012ckh.1	Nfatc2
uc012cki.1	Nfatc2
uc008obb.1	Atp9a
uc008obc.1	Atp9a
uc008obe.1	Atp9a
uc008obd.1	Atp9a
uc008obg.1	Sall4
uc008obf.1	Sall4
uc008obh.1	Sall4
uc012ckj.1	Sall4
uc008obi.1	AK052878
uc008obj.1	Zfp64
uc008obk.1	Zfp64
uc008obl.1	Zfp64
uc008obm.1	Zfp64
uc008obn.1	AK006070
uc008obq.1	AK033180
uc008obo.2	Tshz2
uc008obp.2	Tshz2
uc008obs.1	Tshz2
uc012ckk.1	A630075F10Rik
uc012ckl.1	A630075F10Rik
uc008obr.1	Tshz2
uc008obt.1	Tshz2
uc008obu.2	Zfp217
uc008obv.2	Zfp217
uc008obw.1	BC042727
uc008obx.2	Bcas1
uc008oby.2	Bcas1
uc008obz.2	Bcas1
uc008ocb.1	Cyp24a1
uc008occ.2	Pfdn4
uc008ocd.2	Pfdn4
uc008oce.2	Pfdn4
uc008ocf.1	4930470P17Rik
uc008ocg.2	Dok5
uc012ckm.1	Dok5
uc008och.1	BC049717
uc008oci.1	AK006474
uc008ocj.1	AK133337
uc008ock.1	Cbln4
uc008ocl.1	Mc3r
uc012ckn.1	2010011I20Rik
uc008ocn.1	Aurka
uc008oco.1	Aurka
uc008ocp.1	Cstf1
uc008ocq.1	Cstf1
uc008ocr.1	Cass4
uc008ocs.1	Cass4
uc008oct.1	Cass4
uc008ocu.1	Cass4
uc012cko.1	Gcnt7
uc008ocx.1	Gcnt7
uc008ocv.1	2410001C21Rik
uc008ocw.1	2410001C21Rik
uc008ocy.2	1700029J11Rik
uc008ocz.2	Tcfap2c
uc008oda.2	Tcfap2c
uc012ckp.1	BC116387
uc008odb.1	Bmp7
uc008odc.1	Bmp7
uc008odd.1	Spo11
uc008ode.1	Spo11
uc008odf.1	Spo11
uc012ckq.1	Spo11
uc008odg.1	Rae1
uc012ckr.1	Rae1
uc008odh.1	Rbm38
uc008odj.1	AK041254
uc008odi.1	Ctcfl
uc012cks.1	Ctcfl
uc008odk.1	AK079954
uc008odl.1	Pck1
uc008odm.1	Pck1
uc008odn.1	Pck1
uc008odo.2	Zbp1
uc008odp.2	Zbp1
uc008odq.1	Pmepa1
uc008odr.1	AK145161
uc008ods.1	AK018940
uc008odt.2	1700021F07Rik
uc008odu.2	Ankrd60
uc008odv.2	Ankrd60
uc008ody.1	AK080176
uc008odx.2	Ppp4r1l-ps
uc008odw.2	Ppp4r1l-ps
uc008odz.2	Ppp4r1l-ps
uc008oea.2	Ppp4r1l-ps
uc008oeb.2	Ppp4r1l-ps
uc008oec.2	Ppp4r1l-ps
uc008oed.1	Rab22a
uc008oee.1	Rab22A
uc008oef.1	AK203706
uc008oeg.1	AK046417
uc008oeh.2	1700010B08Rik
uc008oei.1	Vapb
uc012ckt.1	Vapb
uc008oej.1	Stx16
uc008oel.1	Stx16
uc008oek.1	Stx16
uc008oem.1	Stx16
uc008oen.1	Stx16
uc008oeo.2	Npepl1
uc012cku.1	Mir296
uc012ckv.1	Mir298
uc008oep.1	Nespas
uc012ckw.1	Nespas
uc008oeq.1	Gnas
uc008oet.1	Gnas
uc008oex.1	Gnas
uc008ofb.1	AK085136
uc008oer.1	Gnas
uc008oes.1	Gnas
uc008oeu.1	Gnas
uc008oev.1	Gnas
uc008oew.1	Gnas
uc008oey.1	Gnas
uc008oez.1	Gnas
uc008ofa.1	Gnas
uc008ofc.1	Th1l
uc012ckx.1	Th1l
uc008ofd.1	Ctsz
uc008ofe.1	Tubb1
uc008off.1	Atp5e
uc008ofg.1	Slmo2
uc008ofh.1	Zfp831
uc008ofi.1	Edn3
uc008ofj.1	LOC664987
uc008ofk.1	AK166773
uc008ofl.1	BC071190
uc008ofm.2	Gm14391
uc008ofn.2	Gm14391
uc009vce.1	Gm14435
uc008ofo.2	Gm14288
uc012ckz.1	Gm2049
uc012cky.1	0610010B08Rik
uc008ofq.1	Gm14434
uc008ofp.2	Gm14288
uc012cla.1	Gm8898
uc012clb.1	Gm8898
uc012clc.1	Gm2049
uc008ofs.2	0610010B08Rik
uc008ofr.1	Gm14308
uc008oft.1	BC056163
uc008ofu.1	Gm14296
uc008ofv.1	2210418O10Rik
uc008ofw.1	2210418O10Rik
uc008ofx.1	AK005481
uc008ofy.1	BC085231
uc008ofz.1	Gm14308
uc012cle.1	Gm2049
uc012clf.1	Gm8898
uc012clg.1	Gm8898
uc008oga.1	Gm14308
uc008ogb.1	Gm14308
uc012cld.1	AK140724
uc012clh.1	Gm2049
uc008oge.1	Gm14435
uc008ogf.2	Gm6710
uc012cli.1	Gm2049
uc012clj.1	Gm8898
uc012clk.1	Gm8898
uc008ogc.1	Gm14308
uc008ogh.1	Gm14308
uc008ogg.2	Gm14391
uc008ogk.2	100043387
uc008ogl.1	BC056163
uc012cll.1	Gm2049
uc008ogj.1	Gm14308
uc008ogm.1	Gm14308
uc008ogi.1	Gm14308
uc008ogo.1	Gm14434
uc012cln.1	Gm2049
uc008ogn.2	Gm14288
uc008ogp.2	mszf84
uc009vcf.1	Gm14435
uc012clo.1	Gm2049
uc008ogq.1	Gm14308
uc008ogr.1	BC056163
uc008ogs.2	OTTMUSG00000016609
uc008ogt.1	BC083167
uc012clm.1	0610010B08Rik
uc008ogu.1	Gm14296
uc009vcg.1	BC099953
uc008ogv.1	AK005481
uc008ogw.1	BC085231
uc008ogx.1	BC086906
uc008ogy.1	AK078446
uc008oha.2	Gm14420
uc008ohb.1	Gm14403
uc009vci.2	OTTMUSG00000016325
uc008ohd.1	BC086906
uc008ohf.1	AK021199
uc008ohe.1	AK134493
uc012clp.1	Gm14326
uc008ohh.2	Etohi1
uc012clq.1	Etohi1
uc012clr.1	Zfp931
uc012cls.1	Phactr3
uc008ohj.2	Phactr3
uc008ohk.2	Phactr3
uc008ohl.2	Phactr3
uc008ohm.2	Phactr3
uc012clt.1	Sycp2
uc008oho.1	Sycp2
uc008ohn.1	Sycp2
uc008ohp.1	Ppp1r3d
uc008ohq.1	9030418K01Rik
uc008ohr.1	Cdh26
uc008ohs.1	Cdh26
uc008oht.1	AK019836
uc008ohu.2	Cdh4
uc008ohv.2	Cdh4
uc012clu.1	Taf4a
uc008ohw.1	Taf4a
uc008ohx.1	4921531C22Rik
uc008ohy.1	Lsm14b
uc008ohz.1	Lsm14b
uc008oia.1	Lsm14b
uc008oib.1	Psma7
uc008oic.2	Ss18l1
uc008oid.1	Gtpbp5
uc008oie.1	Gtpbp5
uc008oif.1	Gtpbp5
uc008oig.1	Gtpbp5
uc008oih.1	Gtpbp5
uc012clv.1	Gtpbp5
uc012clw.1	Gtpbp5
uc008oii.1	Gtpbp5
uc008oij.1	Hrh3
uc008oik.1	Osbpl2
uc008oil.1	Osbpl2
uc008oim.1	Osbpl2
uc008oin.1	Adrm1
uc008oio.1	Adrm1
uc012clx.1	Lama5
uc008oip.1	Lama5
uc012cly.1	Mir3091
uc008oiq.1	Rps21
uc008oir.1	Rps21
uc008ois.1	Rps21
uc008oit.1	Cables2
uc008oiu.1	Cables2
uc008oiv.1	BC066135
uc008oiw.1	BC066135
uc012clz.1	BC066135
uc008oix.2	Gata5
uc012cma.1	Gata5
uc008oiy.1	AK045814
uc008oiz.1	AK053295
uc012cmb.1	Mir1-1
uc012cmc.1	Mir133a-2
uc008oja.1	AK140896
uc008ojb.1	AK165607
uc008ojc.1	Slco4a1
uc008ojd.1	Slco4a1
uc008oje.1	Slco4a1
uc008ojf.1	Slco4a1
uc012cmd.1	Ntsr1
uc008ojg.1	Ntsr1
uc008ojh.1	1600027N09Rik
uc008oji.1	1600027N09Rik
uc008ojk.2	Ogfr
uc008ojj.2	Ogfr
uc008ojm.1	Col9a3
uc008ojl.1	Col9a3
uc008ojo.2	Tcfl5
uc008ojn.2	Tcfl5
uc008ojp.2	Tcfl5
uc008ojr.1	Dido1
uc008ojq.1	Dido1
uc008ojs.1	Dido1
uc008oju.1	Dido1
uc008ojw.1	Dido1
uc008ojx.1	Dido1
uc008ojt.1	Dido1
uc008ojv.1	Dido1
uc008ojy.1	2310003C23Rik
uc008ojz.1	2310003C23Rik
uc008oka.1	Slc17a9
uc012cme.1	Slc17a9
uc008okb.2	Bhlhe23
uc008okc.1	AK045142
uc012cmf.1	Mir124a-3
uc008okd.1	Ythdf1
uc012cmg.1	Ythdf1
uc008oke.2	Birc7
uc008okf.2	Nkain4
uc008okg.2	Nkain4
uc008okh.2	Nkain4
uc008oki.1	AK040057
uc008okj.2	Arfgap1
uc008okl.2	Arfgap1
uc008okn.2	Arfgap1
uc008okk.2	Arfgap1
uc008okm.2	Arfgap1
uc008oko.2	Arfgap1
uc012cmh.1	AK030308
uc008okp.2	Col20a1
uc012cmi.1	Col20a1
uc008okq.1	Chrna4
uc008okw.1	AK080597
uc008ola.1	Kcnq2
uc008okx.1	Kcnq2
uc008okr.1	Kcnq2
uc008oks.1	Kcnq2
uc008okt.1	Kcnq2
uc008oku.1	Kcnq2
uc008okv.1	Kcnq2
uc008oky.1	Kcnq2
uc008okz.1	Kcnq2
uc008olb.1	Kcnq2
uc008olc.1	Kcnq2
uc008old.1	Kcnq2
uc008ole.1	Kcnq2
uc008olf.1	Kcnq2
uc008olg.1	Kcnq2
uc008olh.1	Eef1a2
uc008oli.1	Ppdpf
uc008olj.1	Ppdpf
uc008olk.1	Ptk6
uc012cmj.1	Ptk6
uc008oll.1	Srms
uc008olm.1	BC051628
uc008olp.1	BC006779
uc008oln.1	BC006779
uc008olo.1	BC006779
uc008ols.1	Gmeb2
uc008olq.1	Gmeb2
uc008olr.1	Gmeb2
uc008olt.1	Stmn3
uc008olu.2	Rtel1
uc008olw.2	Rtel1
uc008olv.2	Rtel1
uc012cmk.1	Rtel1
uc008olx.2	Rtel1
uc012cml.1	Rtel1
uc012cmm.1	Rtel1
uc012cmn.1	Rtel1
uc012cmo.1	Arfrp1
uc012cmp.1	Arfrp1
uc008olz.2	Arfrp1
uc008oly.2	Arfrp1
uc008oma.2	Arfrp1
uc008omb.1	Zgpat
uc008omc.1	Zgpat
uc008omd.1	Lime1
uc008ome.1	Lime1
uc008omf.1	AK082896
uc012cmq.1	Zbtb46
uc008omh.2	Zbtb46
uc008omi.1	Zbtb46
uc008omj.2	Abhd16b
uc008omk.1	Tpd52l2
uc008oml.1	Tpd52l2
uc008omm.1	Tpd52l2
uc008omn.1	Tpd52l2
uc008omo.1	Tpd52l2
uc008omp.1	Dnajc5
uc008omq.1	Dnajc5
uc008omr.1	Dnajc5
uc008oms.1	Uckl1
uc008omt.1	Uckl1
uc012cmr.1	Uckl1os
uc008omu.1	Uckl1os
uc012cms.1	Znf512b
uc008omv.1	Znf512b
uc008omw.1	Samd10
uc008omx.1	Samd10
uc012cmt.1	Samd10
uc008omy.1	Prpf6
uc008omz.1	Prpf6
uc008ona.1	Sox18
uc012cmu.1	Tcea2
uc008onb.1	Tcea2
uc008onc.1	Rgs19
uc008ond.1	Rgs19
uc008one.1	Rgs19
uc008onf.1	Rgs19
uc008ong.1	Rgs19
uc008onh.1	4930526D03Rik
uc008onq.1	Oprl1
uc008ono.1	Oprl1
uc008onp.1	Oprl1
uc008oni.1	Oprl1
uc008onj.1	Oprl1
uc008onk.1	Oprl1
uc008onl.1	Oprl1
uc008onm.1	Oprl1
uc008onn.1	Oprl1
uc012cmv.1	Oprl1
uc008onr.2	Myt1
uc008ons.2	Myt1
uc012cmw.1	Myt1
uc008ont.2	Myt1
uc012cmx.1	Myt1
uc008onu.1	Pcmtd2
uc008onv.1	Pcmtd2
uc008onw.1	Polr3k
uc008onx.1	DQ556351
uc008ony.2	Hnf4g
uc008onz.1	AK012506
uc008ooa.1	Zfhx4
uc012cmy.1	Pxmp3
uc008ooc.2	Pxmp3
uc012cmz.1	Pxmp3
uc008ood.2	Pxmp3
uc012cna.1	Pxmp3
uc012cnb.1	Pxmp3
uc008oob.2	Pxmp3
uc008ooe.2	1700008P02Rik
uc008oof.1	Pkia
uc008oog.1	Fam164a
uc012cnc.1	Fam164a
uc008ooh.1	Il7
uc008ooi.1	Il7
uc008ooj.1	Il7
uc008ook.1	Il7
uc008ool.1	AK151815
uc008oom.1	AK005828
